description,actual_year_built,square_feet,number_of_buildings,parcel_id
RETAIL STORE,2013,4556,1,171B2 A006A
APARTMENT,2013,17648,1,171B2 A006A
APARTMENT,2013,28980,1,171B2 A006A
APARTMENT,2013,12240,1,171B2 A006A
PARKING STRUCTURE,2013,11520,1,171B2 A006A
PARKING STRUCTURE,2013,3360,1,171B2 A006A
