description,actual_year_built,square_feet,number_of_buildings,parcel_id
APARTMENT,1902,6777,1,171B6 C012
APARTMENT,1902,3844,1,171B6 C012
DOWNTOWN RETAIL,1902,1496,1,171B6 C012
DOWNTOWN RETAIL,1902,1437,1,171B6 C012
