description,actual_year_built,square_feet,number_of_buildings,parcel_id
OFFICE-GENERAL,2016,8423,1,171A2 H002
DOWNTOWN RETAIL,2016,5324,1,171A2 H002
DOWNTOWN RETAIL,2016,6786,1,171A2 H002
APARTMENT,2016,99092,1,171A2 H002
PARKING STRUCTURE,2016,21063,1,171A2 H002
PARKING STRUCTURE,2016,28837,1,171A2 H002
