description,actual_year_built,square_feet,number_of_buildings,parcel_id
GARAGE-SERVICE SHED,1960,2400,1,163C2 A015
GARAGE-SERVICE SHED,1950,2400,1,163C2 A015
GARAGE-STORAGE,1940,1089,1,163C2 A015
