description,actual_year_built,square_feet,number_of_buildings,parcel_id
DOWNTOWN RETAIL,1845,3978,1,171B3 A001
OFFICE-GENERAL,1845,5400,1,171B3 A001
APARTMENT,1845,1482,1,171B3 A001
APARTMENT,1845,7956,1,171B3 A001
