description,actual_year_built,square_feet,number_of_buildings,parcel_id
MINI WAREHOUSE,1978,5720,1,171B4 A008A
MINI WAREHOUSE,1981,2000,1,171B4 A008A
MINI WAREHOUSE,1981,1400,1,171B4 A008A
MINI WAREHOUSE,1981,1500,1,171B4 A008A
