description,actual_year_built,square_feet,number_of_buildings,parcel_id
DOWNTOWN RETAIL,1890,1250,1,171B5 D017
APARTMENT,1890,1250,1,171B5 D017
APARTMENT,1890,1250,1,171B5 D017
