description,actual_year_built,square_feet,number_of_buildings,parcel_id
HOTEL-LIMITED SERVICE,2017,20259,1,171A4 E010
HOTEL-LIMITED SERVICE,2017,117402,1,171A4 E010
PARKING STRUCTURE,2017,29224,1,171A4 E010
PARKING STRUCTURE,2017,18375,1,171A4 E010
