description,actual_year_built,square_feet,number_of_buildings,parcel_id
NEIGHBORHOOD BAR,1900,1280,1,171B5 A006A
NEIGHBORHOOD BAR,1900,1920,1,171B5 A006A
RESTAURANT,1900,2742,1,171B5 A006A
