description,actual_year_built,square_feet,number_of_buildings,parcel_id
HOTEL-LIMITED SERVICE,2017,23720,1,171B4 C008A
HOTEL-LIMITED SERVICE,2018,71841,1,171B4 C008A
PARKING STRUCTURE,2017,13884,1,171B4 C008A
PARKING STRUCTURE,2017,30670,1,171B4 C008A
