description,actual_year_built,square_feet,number_of_buildings,parcel_id
NEIGHBORHOOD BAR,1910,3740,1,171B6 D004
NEIGHBORHOOD BAR,1910,2720,1,171B6 D004
APARTMENT,1910,4725,1,171B6 D004
APARTMENT,1910,4590,1,171B6 D004
APARTMENT,1910,2210,1,171B6 D004
