description,actual_year_built,square_feet,number_of_buildings,parcel_id
MULTIFAMILY RES-GENERAL,2019,14385,5,163C4 C012
MULTIFAMILY RES-GENERAL,2019,10395,5,163C4 C012
MULTIFAMILY RES-GENERAL,2019,14195,5,163C4 C012
MULTIFAMILY RES-GENERAL,2019,4840,2,163C4 C012
MULTIFAMILY RES-GENERAL,2019,4884,2,163C4 C012
MULTIFAMILY RES-GENERAL,2019,1644,1,163C4 C012
MULTIFAMILY RES-GENERAL,2020,8598,1,163C4 C012
MULTIFAMILY RES-GENERAL,2020,17380,1,163C4 C012
