description,actual_year_built,square_feet,number_of_buildings,parcel_id
RESTAURANT,1900,3454,1,171B5 C006
APARTMENT,1900,3300,1,171B5 C006
WAREHOUSE-STORAGE,1900,368,1,171B5 C006
APARTMENT,2015,2700,1,171B5 C006
