description,actual_year_built,square_feet,number_of_buildings,parcel_id
CLUBHOUSE,2013,12271,1,163D3 K001
DOWNTOWN RETAIL,2013,19181,1,163D3 K001
APARTMENT,2013,182160,1,163D3 K001
PARKING STRUCTURE,2013,196800,1,163D3 K001
DOWNTOWN RETAIL,2013,10191,1,163D3 K001
APARTMENT,2013,98865,1,163D3 K001
PARKING STRUCTURE,2013,9842,1,163D3 K001
