description,actual_year_built,square_feet,number_of_buildings,parcel_id
HOTEL-LIMITED SERVICE,2017,10529,1,171B1 C003
HOTEL-LIMITED SERVICE,2017,15634,1,171B1 C003
HOTEL-LIMITED SERVICE,2017,85950,1,171B1 C003
HOTEL-LIMITED SERVICE,2017,13775,1,171B1 C003
PARKING STRUCTURE,2017,83025,1,171B1 C003
