"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"171C1 B013","390 S POPE ST","8/20/2021","$285,000.00","Qualified","FM","0.18","Residential","1955","947","$300.95","4022R-DEARING"
"171A3 O004","175 DEARING ST","8/3/2021","$633,000.00","Qualified","FM","0.44","Residential","1957","2652","$238.69","4022R-DEARING"
"171A3 J007","342 DEARING ST","8/2/2021","$959,000.00","Qualified","FM","0.49","Residential","1915","4010","$239.15","4022R-DEARING"
"171C1 E004","195 HENDERSON AVE","3/22/2018","$650,000.00","Qualified","FM","0.43","Residential","1870","3214","$202.24","4022R-DEARING"
"171C1 E004","195 HENDERSON AVE","7/20/2021","$765,000.00","Qualified","FM","0.43","Residential","1870","3214","$238.02","4022R-DEARING"
"171A3 J008","328 DEARING ST","6/12/2014","$325,000.00","Qualified","FM","0.49","Residential","2016","441","$83.44","4022R-DEARING"
"171A3 J008","328 DEARING ST","7/6/2015","$755,500.00","Qualified","FM","0.49","Residential","2016","441","$193.97","4022R-DEARING"
"171A3 J008","328 DEARING ST","9/20/2019","$989,000.00","Qualified","FM","0.49","Residential","2016","441","$253.92","4022R-DEARING"
"171A3 J008","328 DEARING ST","7/15/2021","$1,030,000.00","Qualified","FM","0.49","Residential","2016","441","$264.44","4022R-DEARING"
"171A4 C005A","203 S FINLEY ST","5/22/2020","$490,000.00","Qualified","FM","0.28","Residential","1983","2667","$183.73","4022R-DEARING"
"171C1 C011","384 S CHURCH ST","12/11/2015","$438,000.00","Qualified","FM","0.34","Residential","1940","4976","$88.02","4022R-DEARING"
"171C1 C011","384 S CHURCH ST","2/19/2021","$1,225,000.00","Qualified","FM","0.34","Residential","1940","4976","$246.18","4022R-DEARING"
"171C1 E003","145 HENDERSON AVE","1/5/2021","$580,000.00","Qualified","FM","0.43","Residential","1945","2102","$275.93","4022R-DEARING"
"171C1 D010","236 HENDERSON AVE","2/15/2016","$505,000.00","Qualified","FM","0.35","Residential","1965","800","$162.69","4022R-DEARING"
"171C1 D010","236 HENDERSON AVE","7/24/2020","$721,000.00","Qualified","FM","0.35","Residential","1965","800","$232.28","4022R-DEARING"
"171A3 O005A","285 S POPE ST","4/1/2019","$200,000.00","Qualified","FM","0.25","Residential","2020","2573","$77.73","4022R-DEARING"
"171A3 O001","WADDELL ST","2/28/2019","$85,000.00","Qualified","LM","0.37","Residential","","","$0.00","4022R-DEARING"
"171A3 H002","146 DEARING ST","1/18/2019","$1,068,000.00","Qualified","FM","0.64","Residential","1880","5086","$209.99","4022R-DEARING"
"171A4 C006A","259 S FINLEY ST","3/13/2015","$247,000.00","Qualified","FM","0.24","Residential","1930","3437","$71.86","4022R-DEARING"
"171A3 I007","220 DEARING ST","8/21/2017","$589,000.00","Qualified","FM","0.32","Residential","1835","3360","$175.30","4022R-DEARING"
"171A3 I005","254 DEARING ST","3/15/2016","$485,000.00","Qualified","FM","0.31","Residential","1936","4025","$120.50","4022R-DEARING"
"171A3 J008A","120 S CHURCH ST","6/28/2016","$609,800.00","Qualified","FM","0.25","Residential","2017","696","$171.97","4022R-DEARING"
"171A3 L001","421 DEARING ST","4/16/2015","$340,000.00","Qualified","FM","0.33","Residential","1946","3274","$103.85","4022R-DEARING"
"171C1 E009","287 HENDERSON AVE","7/25/2014","$410,000.00","Qualified","FM","0.26","Residential","1940","410","$167.76","4022R-DEARING"
"171C1 E001","125 HENDERSON AVE","7/1/2014","$450,000.00","Qualified","FM","0.45","Residential","1945","2713","$165.87","4022R-DEARING"
