"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"114D1 H008","175 LAKEVIEW ST","2/27/2019","$140,000.00","Qualified","FM","0.14","Residential","1960","1800","$77.78","4007R-BOULEVARD"
"114D1 H008","175 LAKEVIEW ST","7/30/2021","$476,000.00","Qualified","FM","0.14","Residential","1960","1800","$264.44","4007R-BOULEVARD"
"163C3 D013","265 BARBER ST","12/11/2017","$787,000.00","Qualified","FM","0.79","Historical","1890","4561","$172.55","4007R-BOULEVARD"
"114D1 I012","160 LAKEVIEW ST","6/18/2021","$193,000.00","Qualified","FM","0.07","Residential","1947","752","$256.65","4007R-BOULEVARD"
"114D4 B036","329 LYNDON AVE","6/16/2021","$490,000.00","Qualified","FM","0.08","Residential","2007","2200","$222.73","4007R-BOULEVARD"
"114D4 B039A","123 CAIN ST","1/28/2015","$109,000.00","Qualified","FM","0.05","Residential","1925","650","$167.69","4007R-BOULEVARD"
"114D4 B039A","123 CAIN ST","10/19/2016","$114,000.00","Qualified","FM","0.05","Residential","1925","650","$175.38","4007R-BOULEVARD"
"114D4 B039A","123 CAIN ST","6/11/2021","$214,500.00","Qualified","FM","0.05","Residential","1925","650","$330.00","4007R-BOULEVARD"
"114C4 C001A","264 BUENA VISTA AVE","9/21/2015","$270,000.00","Qualified","FM","0.18","Residential","2005","1692","$159.57","4007R-BOULEVARD"
"114C4 C001A","264 BUENA VISTA AVE","6/2/2021","$405,000.00","Qualified","FM","0.18","Residential","2005","1692","$239.36","4007R-BOULEVARD"
"163C3 B015A","365 BARBER ST","9/12/2019","$100,000.00","Qualified","LM","0.23","Residential","2020","2180","$45.87","4007R-BOULEVARD"
"163C3 B015A","365 BARBER ST","4/30/2021","$666,000.00","Qualified","FM","0.23","Residential","2020","2180","$305.50","4007R-BOULEVARD"
"114D1 B010","147 CHATTOOGA AVE","11/20/2020","$198,000.00","Qualified","FM","0.3","Residential","1947","1106","$179.02","4007R-BOULEVARD"
"114D4 B025","297 LYNDON AVE","4/16/2021","$415,000.00","Qualified","FM","0.08","Residential","2005","1436","$289.00","4007R-BOULEVARD"
"114D1 I011","170 LAKEVIEW ST","4/6/2021","$105,000.00","Qualified","FM","0.07","Residential","1967","688","$152.62","4007R-BOULEVARD"
"114D4 B042A","165 CAIN ST","11/9/2017","$537,000.00","Qualified","FM","0.16","Residential","2008","2205","$243.54","4007R-BOULEVARD"
"114D4 B042A","165 CAIN ST","4/2/2021","$656,525.00","Qualified","FM","0.16","Residential","2008","2205","$297.74","4007R-BOULEVARD"
"163C3 B014","134 BOULEVARD","12/15/2015","$335,000.00","Qualified","FM","0.19","Residential","1947","1535","$218.24","4007R-BOULEVARD"
"163C3 B014","134 BOULEVARD","3/26/2021","$400,000.00","Qualified","FM","0.19","Residential","1947","1535","$260.59","4007R-BOULEVARD"
"114D4 B003","565 BOULEVARD","3/2/2021","$385,000.00","Qualified","FM","0.41","Residential","1920","1645","$234.04","4007R-BOULEVARD"
"114D4 B037","335 LYNDON AVE","6/4/2015","$355,000.00","Qualified","FM","0.08","Residential","2007","2200","$161.36","4007R-BOULEVARD"
"114D4 B037","335 LYNDON AVE","2/24/2021","$472,000.00","Qualified","FM","0.08","Residential","2007","2200","$214.55","4007R-BOULEVARD"
"114C2 E007","1285 BOULEVARD","5/1/2015","$188,000.00","Qualified","FM","0.14","Residential","1923","1557","$120.75","4007R-BOULEVARD"
"114C2 E007","1285 BOULEVARD","2/23/2021","$316,250.00","Qualified","FM","0.14","Residential","1923","1557","$203.11","4007R-BOULEVARD"
"114D4 A007","421 BOULEVARD","4/17/2015","$349,000.00","Qualified","FM","0.25","Residential","1935","1591","$219.36","4007R-BOULEVARD"
"114D4 A007","421 BOULEVARD","2/22/2021","$455,000.00","Qualified","FM","0.25","Residential","1935","1591","$285.98","4007R-BOULEVARD"
"114D4 C017","151 LYNDON AVE","2/18/2021","$282,500.00","Qualified","FM","0.14","Residential","1948","2331","$121.19","4007R-BOULEVARD"
"114D4 C006","361 DUBOSE AVE","3/12/2016","$160,000.00","Qualified","LM","0.2","Residential","2017","2626","$60.93","4007R-BOULEVARD"
"114D4 C006","361 DUBOSE AVE","6/22/2018","$530,000.00","Qualified","FM","0.2","Residential","2017","2626","$201.83","4007R-BOULEVARD"
"114D4 C006","361 DUBOSE AVE","1/28/2021","$600,000.00","Qualified","FM","0.2","Residential","2017","2626","$228.48","4007R-BOULEVARD"
"114C2 A035","405 BUENA VISTA AVE","4/5/2016","$220,000.00","Qualified","FM","0.43","Residential","1954","2017","$109.07","4007R-BOULEVARD"
"114C2 A035","405 BUENA VISTA AVE","1/17/2017","$410,000.00","Qualified","FM","0.43","Residential","1954","2017","$203.27","4007R-BOULEVARD"
"114C2 A035","405 BUENA VISTA AVE","1/27/2021","$520,000.00","Qualified","FM","0.43","Residential","1954","2017","$257.81","4007R-BOULEVARD"
"114D1 I008","735 NANTAHALA AVE","1/19/2021","$310,000.00","Qualified","FM","0.07","Residential","1964","1361","$227.77","4007R-BOULEVARD"
"114D1 B017","450 NACOOCHEE AVE","9/15/2017","$150,000.00","Qualified","FM","0.2","Residential","1964","1172","$127.99","4007R-BOULEVARD"
"114D4 B007","693 BOULEVARD","4/3/2017","$380,000.00","Qualified","FM","0.19","Residential","1930","2872","$132.31","4007R-BOULEVARD"
