"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"171B8 B004","269 E BROAD ST","6/14/2021","$700,000.00","Qualified","FM","0.05","Historical","1945","2244","$0.00","5034C-PAVILION PARTN"
"171B8 A001","259 E BROAD ST","6/2/2021","$750,000.00","Qualified","FM","0.07","Commercial","1945","2963","$0.00","5034C-PAVILION PARTN"
"171B8 C001","254 E CLAYTON ST","10/31/2014","$1,025,000.00","Qualified","FM","0.14","Commercial","1945","6045","$0.00","5034C-PAVILION PARTN"
