"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"164C3 B003","135 HILLSIDE ST","5/6/2021","$100,000.00","Qualified","FM","0.34","Residential","1965","1491","$67.07","4058R-FIRST& VINE"
"164C3 E003","290 FIRST ST","3/31/2021","$320,000.00","Qualified","FM","0.17","Residential","2003","2627","$121.81","4058R-FIRST& VINE"
"164C3 A024","140 HILLSIDE ST","6/10/2015","$145,000.00","Qualified","FM","0.24","Residential","1940","1153","$125.76","4058R-FIRST& VINE"
"164C3 A024","140 HILLSIDE ST","5/17/2018","$216,000.00","Qualified","FM","0.24","Residential","1940","1153","$187.34","4058R-FIRST& VINE"
"164C3 A024","140 HILLSIDE ST","2/24/2021","$250,000.00","Qualified","FM","0.24","Residential","1940","1153","$216.83","4058R-FIRST& VINE"
"164C3 A026","120 HILLSIDE ST","12/11/2020","$170,000.00","Qualified","FM","0.2","Residential","1955","1727","$98.44","4058R-FIRST& VINE"
"164C3 C007","208 FIRST ST","8/15/2017","$190,000.00","Qualified","FM","0.26","Residential","1940","1140","$166.67","4058R-FIRST& VINE"
"164C3 C007","208 FIRST ST","7/31/2020","$257,500.00","Qualified","FM","0.26","Residential","1940","1140","$225.88","4058R-FIRST& VINE"
"164C3 B011","186 FIRST ST","6/11/2015","$113,000.00","Qualified","FM","0.27","Residential","1945","1281","$88.21","4058R-FIRST& VINE"
"164C3 B011","186 FIRST ST","7/1/2020","$219,900.00","Qualified","FM","0.27","Residential","1945","1281","$171.66","4058R-FIRST& VINE"
"164C3 C001","232 RIDGE AVE","6/1/2015","$160,000.00","Qualified","FM","0.32","Residential","2003","1120","$142.86","4058R-FIRST& VINE"
"164C3 C001","232 RIDGE AVE","5/15/2020","$240,000.00","Qualified","FM","0.32","Residential","2003","1120","$214.29","4058R-FIRST& VINE"
"164C3 A008","155 OAKRIDGE AVE","3/6/2015","$190,000.00","Qualified","FM","0.23","Residential","2007","1280","$148.44","4058R-FIRST& VINE"
"164C3 A008","155 OAKRIDGE AVE","3/27/2020","$273,500.00","Qualified","FM","0.23","Residential","2007","1280","$213.67","4058R-FIRST& VINE"
"164C3 D004","239 FIRST ST","3/2/2020","$154,000.00","Qualified","FM","0.29","Residential","1960","891","$172.84","4058R-FIRST& VINE"
"164C3 B004A","139 HILLSIDE ST","4/22/2014","$210,000.00","Qualified","FM","0.18","Residential","2007","1536","$136.72","4058R-FIRST& VINE"
"164C3 B004A","139 HILLSIDE ST","2/28/2020","$335,000.00","Qualified","FM","0.18","Residential","2007","1536","$218.10","4058R-FIRST& VINE"
"164C3 C005B","240 FIRST ST","2/27/2020","$274,297.00","Qualified","FM","0.24","Residential","2007","1568","$174.93","4058R-FIRST& VINE"
"163D4 J001C","127 CHICOPEE BLVD","2/5/2020","$412,500.00","Qualified","FM","0.26","Residential","2019","2454","$168.09","4058R-FIRST& VINE"
"163D4 J001A","245 PEARL ST","1/6/2020","$374,600.00","Qualified","FM","0.14","Residential","2019","2096","$178.72","4058R-FIRST& VINE"
"163D4 I004","16 VINE ST","10/18/2018","$24,000.00","Qualified","LM","0.12","Residential","2019","1192","$20.13","4058R-FIRST& VINE"
"163D4 I004","16 VINE ST","6/25/2019","$280,000.00","Qualified","FM","0.12","Residential","2019","1192","$234.90","4058R-FIRST& VINE"
