"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"163D1 H018","241 MADISON HTS","6/19/2015","$202,000.00","Qualified","FM","0.13","Residential","2009","1824","$110.75","4062R-MLK & RUTH"
"163D1 G005","170 STRICKLAND AVE","6/25/2021","$347,500.00","Qualified","FM","0.17","Residential","2007","1800","$193.06","4062R-MLK & RUTH"
"163D1 D003","137 STRICKLAND AVE","7/8/2019","$234,000.00","Qualified","FM","0.24","Residential","2008","1950","$120.00","4062R-MLK & RUTH"
"163D1 D003","137 STRICKLAND AVE","6/23/2021","$305,000.00","Qualified","FM","0.24","Residential","2008","1950","$156.41","4062R-MLK & RUTH"
"163B3 F016","160 JONAS AVE","6/4/2021","$500,000.00","Qualified","FM","0.24","Residential","2009","919","$173.67","4062R-MLK & RUTH"
"163B3 A005","225 RUTH DR","7/18/2014","$236,000.00","Qualified","FM","0.25","Residential","2014","2470","$95.55","4062R-MLK & RUTH"
"163B3 A005","225 RUTH DR","4/16/2021","$400,000.00","Qualified","FM","0.25","Residential","2014","2470","$161.94","4062R-MLK & RUTH"
"163D1 D005","145 STRICKLAND AVE","8/22/2016","$168,000.00","Qualified","FM","0.19","Residential","2016","1475","$113.90","4062R-MLK & RUTH"
"163D1 D005","145 STRICKLAND AVE","4/8/2021","$231,400.00","Qualified","FM","0.19","Residential","2016","1475","$156.88","4062R-MLK & RUTH"
"163A4 B007","1016 DR MARTIN LUTHER KING JR PKWY","3/12/2021","$390,000.00","Qualified","FM","0.13","Residential","2010","2198","$177.43","4062R-MLK & RUTH"
"163A4 B005","1020 DR MARTIN LUTHER KING JR PKWY","3/12/2021","$385,000.00","Qualified","FM","0.15","Residential","2011","2198","$175.16","4062R-MLK & RUTH"
"163B3 F026","189 MARLIN ST","2/7/2019","$166,000.00","Qualified","FM","0.11","Residential","2005","2376","$69.87","4062R-MLK & RUTH"
"163B3 F026","189 MARLIN ST","12/29/2020","$250,000.00","Qualified","FM","0.11","Residential","2005","2376","$105.22","4062R-MLK & RUTH"
"163B3 F027","193 MARLIN ST","1/25/2019","$172,000.00","Qualified","FM","0.11","Residential","2005","1924","$89.40","4062R-MLK & RUTH"
"163B3 F027","193 MARLIN ST","12/29/2020","$250,000.00","Qualified","FM","0.11","Residential","2005","1924","$129.94","4062R-MLK & RUTH"
"163D1 G014","136 STRICKLAND AVE","8/7/2017","$227,500.00","Qualified","FM","0.12","Residential","2007","1800","$126.39","4062R-MLK & RUTH"
"163D1 G022","228 1/2 MADISON HTS","9/1/2020","$103,448.00","Qualified","FM","0.21","Residential","1960","780","$132.63","4062R-MLK & RUTH"
"163D1 G021","228 MADISON HTS","9/1/2020","$164,552.00","Qualified","FM","0.13","Residential","1930","1950","$84.39","4062R-MLK & RUTH"
"163B3 F012A","344 RUTH ST","11/20/2020","$250,000.00","Qualified","FM","0.12","Residential","2008","1776","$140.77","4062R-MLK & RUTH"
"163B3 F013B","151 JONAS AVE","11/19/2020","$251,500.00","Qualified","FM","0.25","Residential","2008","1800","$139.72","4062R-MLK & RUTH"
"163D1 G013","140 STRICKLAND AVE","7/27/2016","$152,000.00","Qualified","FM","0.12","Residential","2006","1500","$101.33","4062R-MLK & RUTH"
"163D1 G013","140 STRICKLAND AVE","9/15/2020","$221,160.00","Qualified","FM","0.12","Residential","2006","1500","$147.44","4062R-MLK & RUTH"
"163D1 G008","162 STRICKLAND AVE","1/31/2020","$45,500.00","Qualified","LM","0.24","Residential","2020","2232","$20.39","4062R-MLK & RUTH"
"163D1 C007","966 DR MARTIN LUTHER KING JR PKWY","9/29/2017","$60,000.00","Qualified","FM","0.23","Residential","1915","1344","$44.64","4062R-MLK & RUTH"
"163B3 F036A","196 MARLIN ST","1/19/2018","$10,000.00","Qualified","LM","0.21","Residential","2020","1924","$5.20","4062R-MLK & RUTH"
"163B3 F036A","196 MARLIN ST","9/27/2019","$135,000.00","Qualified","LM","0.21","Residential","2020","1924","$70.17","4062R-MLK & RUTH"
"163B3 F031","190 MARLIN ST","1/5/2018","$10,000.00","Qualified","LM","0.16","Residential","2020","1582","$6.32","4062R-MLK & RUTH"
"163B3 F031","190 MARLIN ST","9/27/2019","$135,000.00","Qualified","LM","0.16","Residential","2020","1582","$85.34","4062R-MLK & RUTH"
"163B3 F036","192 MARLIN ST","1/5/2018","$10,000.00","Qualified","LM","0.21","Residential","2020","1924","$5.20","4062R-MLK & RUTH"
"163B3 F036","192 MARLIN ST","9/27/2019","$135,000.00","Qualified","LM","0.21","Residential","2020","1924","$70.17","4062R-MLK & RUTH"
"163D1 E008","183 STRICKLAND AVE","5/30/2017","$37,500.00","Qualified","LM","0.11","Residential","2020","1775","$21.13","4062R-MLK & RUTH"
"163D1 E008","183 STRICKLAND AVE","9/3/2019","$125,000.00","Qualified","LM","0.11","Residential","2020","1775","$70.42","4062R-MLK & RUTH"
"163D1 E004","168 MARLIN ST","7/6/2017","$52,000.00","Qualified","LM","0.1","Residential","2020","1750","$29.71","4062R-MLK & RUTH"
"163D1 E004","168 MARLIN ST","9/3/2019","$125,000.00","Qualified","LM","0.1","Residential","2020","1750","$71.43","4062R-MLK & RUTH"
"163D1 E009","185 STRICKLAND AVE","5/30/2017","$37,500.00","Qualified","LM","0.11","Residential","2020","1380","$27.17","4062R-MLK & RUTH"
"163D1 E009","185 STRICKLAND AVE","9/3/2019","$125,000.00","Qualified","LM","0.11","Residential","2020","1380","$90.58","4062R-MLK & RUTH"
"163D1 E009A","189 STRICKLAND AVE","5/30/2017","$37,500.00","Qualified","LM","0.1","Residential","","","$0.00","4062R-MLK & RUTH"
"163D1 E009A","189 STRICKLAND AVE","9/3/2019","$125,000.00","Qualified","LM","0.1","Residential","","","$0.00","4062R-MLK & RUTH"
"163D1 E010","187 STRICKLAND AVE","7/6/2017","$52,000.00","Qualified","LM","0.1","Residential","2020","1750","$29.71","4062R-MLK & RUTH"
"163D1 E010","187 STRICKLAND AVE","9/3/2019","$125,000.00","Qualified","LM","0.1","Residential","2020","1750","$71.43","4062R-MLK & RUTH"
"163B3 F011","350 RUTH ST","8/24/2018","$110,000.00","Qualified","FM","0.19","Residential","1945","1138","$96.66","4062R-MLK & RUTH"
"163B3 F021","200 RUTH ST","12/28/2018","$125,000.00","Qualified","FM","0.19","Residential","1965","850","$147.06","4062R-MLK & RUTH"
"163B3 F012B","111 JONAS AVE","12/10/2018","$219,500.00","Qualified","FM","0.12","Residential","2008","1776","$123.59","4062R-MLK & RUTH"
"163B3 F013C","141 JONAS AVE","11/19/2018","$219,500.00","Qualified","FM","0.25","Residential","2008","1776","$123.59","4062R-MLK & RUTH"
"163D1 D017","151 MARLIN ST","10/22/2015","$122,000.00","Qualified","FM","0.16","Residential","1955","1612","$75.68","4062R-MLK & RUTH"
"163D1 H007","852 DR MARTIN LUTHER KING JR PKWY","5/31/2018","$212,121.00","Qualified","FM","0.25","Residential","2009","1824","$116.29","4062R-MLK & RUTH"
"163B3 F020","210 RUTH ST","6/30/2014","$127,500.00","Qualified","FM","0.18","Residential","1950","952","$133.93","4062R-MLK & RUTH"
"163B3 F020","210 RUTH ST","4/5/2018","$125,000.00","Qualified","FM","0.18","Residential","1950","952","$131.30","4062R-MLK & RUTH"
"163A2 B001","105 MANDY DR","12/29/2015","$89,000.00","Qualified","FM","0.2","Residential","1975","984","$90.45","4062R-MLK & RUTH"
"163A2 B001","105 MANDY DR","3/26/2018","$103,400.00","Qualified","FM","0.2","Residential","1975","984","$105.08","4062R-MLK & RUTH"
"163B3 F025","185 MARLIN ST","12/11/2017","$135,000.00","Qualified","FM","0.11","Residential","2007","1200","$112.50","4062R-MLK & RUTH"
"163D2 D010","270 FIFTH ST","4/12/2016","$69,000.00","Qualified","FM","0.37","Residential","2017","3186","$21.66","4062R-MLK & RUTH"
"163D1 G004","184 STRICKLAND AVE","4/21/2016","$65,000.00","Qualified","FM","0.25","Residential","2017","1728","$37.62","4062R-MLK & RUTH"
"163B3 A002","175 RUTH DR","4/5/2016","$90,000.00","Qualified","FM","0.22","Residential","1970","704","$127.84","4062R-MLK & RUTH"
"163B3 A002","175 RUTH DR","8/3/2017","$122,500.00","Qualified","FM","0.22","Residential","1970","704","$174.01","4062R-MLK & RUTH"
"163D2 D003E","145 FIFTH ST","5/7/2014","$145,000.00","Qualified","FM","0.09","Residential","2005","1600","$90.63","4062R-MLK & RUTH"
"163D2 D003","105 FIFTH ST","5/7/2014","$210,000.00","Qualified","FM","0.09","Residential","2005","1800","$116.67","4062R-MLK & RUTH"
"163D2 D003D","115 FIFTH ST","5/7/2014","$210,000.00","Qualified","FM","0.09","Residential","2005","1800","$116.67","4062R-MLK & RUTH"
"163D2 D003F","135 FIFTH ST","5/7/2014","$210,000.00","Qualified","FM","0.24","Residential","2005","1800","$116.67","4062R-MLK & RUTH"
"163D2 D003G","125 FIFTH ST","5/7/2014","$210,000.00","Qualified","FM","0.14","Residential","2005","1800","$116.67","4062R-MLK & RUTH"
"163B3 A009","986 DR MARTIN LUTHER KING JR PKWY","12/28/2016","$18,500.00","Qualified","LM","0.12","Residential","","","$0.00","4062R-MLK & RUTH"
"163B3 A001A","155 RUTH DR","2/25/2014","$110,000.00","Qualified","LM","0.31","Residential","2014","1950","$56.41","4062R-MLK & RUTH"
"163B3 A001A","155 RUTH DR","10/31/2016","$262,500.00","Qualified","FM","0.31","Residential","2014","1950","$134.62","4062R-MLK & RUTH"
"163B3 A001B","165 RUTH DR","2/25/2014","$110,000.00","Qualified","LM","0.38","Residential","2014","2498","$44.04","4062R-MLK & RUTH"
"163B3 A001B","165 RUTH DR","10/31/2016","$330,750.00","Qualified","FM","0.38","Residential","2014","2498","$132.41","4062R-MLK & RUTH"
"163D1 G011A","150 A STRICKLAND AVE","3/15/2016","$158,500.00","Qualified","FM","0.07","Residential","2011","1446","$109.61","4062R-MLK & RUTH"
"163B3 C005B","235 RUTH ST","2/23/2016","$128,900.00","Qualified","FM","0.27","Residential","1969","1588","$81.17","4062R-MLK & RUTH"
"163B3 C005C","237 RUTH ST","2/23/2016","$126,500.00","Qualified","FM","0.27","Residential","1969","1588","$79.66","4062R-MLK & RUTH"
"163D1 D007","149 STRICKLAND AVE","12/23/2015","$19,500.00","Qualified","LM","0.15","Residential","2016","1620","$12.04","4062R-MLK & RUTH"
"163D2 C002","133 BERLIN ST","12/23/2015","$140,000.00","Qualified","LM","0.44","Commercial","2016","3840","$36.46","4062R-MLK & RUTH"
"163D1 D009","153 STRICKLAND AVE","12/23/2015","$82,000.00","Qualified","FM","0.41","Residential","2016","4320","$18.98","4062R-MLK & RUTH"
"163D2 C002A","129 BERLIN ST","12/23/2015","$140,000.00","Qualified","LM","0.43","Commercial","2016","4056","$34.52","4062R-MLK & RUTH"
"163D1 D008","151 STRICKLAND AVE","11/30/2015","$22,500.00","Qualified","LM","0.11","Residential","2016","1620","$13.89","4062R-MLK & RUTH"
"163B3 C003","215 RUTH ST","6/19/2015","$30,828.00","Qualified","LM","8.69","Residential","","","$0.00","4062R-MLK & RUTH"
"163B3 C003","215 RUTH ST","6/19/2015","$344,162.00","Qualified","FM","8.69","Residential","","","$0.00","4062R-MLK & RUTH"
"163B3 C003","215 RUTH ST","7/31/2015","$130,000.00","Qualified","FM","8.69","Residential","","","$0.00","4062R-MLK & RUTH"
"163A2 A001","125 HOBSON AVE","4/6/2015","$1,325,000.00","Qualified","FM","1.2","Commercial","2012","1260","$100.10","4062R-MLK & RUTH"
"163D1 G026","218 MADISON HTS","3/6/2015","$176,000.00","Qualified","FM","0.12","Residential","2009","1536","$114.58","4062R-MLK & RUTH"
"163B3 A001","145 RUTH DR","2/23/2015","$150,000.00","Qualified","FM","0.37","Residential","1978","3800","$0.00","4062R-MLK & RUTH"
"163B3 A005A","215 RUTH DR","7/18/2014","$233,500.00","Qualified","FM","0.25","Residential","2014","2470","$94.53","4062R-MLK & RUTH"
"163B3 A005B","205 RUTH DR","7/18/2014","$236,000.00","Qualified","FM","0.22","Residential","2014","2470","$95.55","4062R-MLK & RUTH"
"163D1 D018","159 MARLIN ST","6/19/2014","$168,000.00","Qualified","FM","0.16","Residential","2007","1768","$95.02","4062R-MLK & RUTH"
