"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"122B4 D012","812 REESE ST","2/1/2019","$202,009.00","Qualified","FM","0.07","Residential","2002","1404","$143.88","4009R-HANCOCK WEST"
"122B4 D018","157 FRANKLIN ST","8/12/2021","$315,000.00","Qualified","FM","0.14","Residential","2002","1404","$224.36","4009R-HANCOCK WEST"
"122B4 D021","1045 W HANCOCK AVE","12/11/2014","$167,000.00","Qualified","FM","0.24","Residential","1920","1396","$119.63","4009R-HANCOCK WEST"
"122B4 D021","1045 W HANCOCK AVE","8/2/2021","$299,000.00","Qualified","FM","0.24","Residential","1920","1396","$214.18","4009R-HANCOCK WEST"
"122B4 I003","N CHASE ST","10/21/2014","$10,000.00","Qualified","LM","0.08","Residential","","","$0.00","4009R-HANCOCK WEST"
"122B4 I004","140 N CHASE ST","8/27/2014","$70,000.00","Qualified","FM","0.09","Residential","1910","1683","$41.59","4009R-HANCOCK WEST"
"122B1 C003","125 GLENHAVEN AVE","9/30/2019","$195,000.00","Qualified","FM","0.19","Residential","1940","1286","$151.63","4009R-HANCOCK WEST"
"122B3 D018","1370 W HANCOCK AVE","4/28/2021","$235,000.00","Qualified","FM","0.15","Residential","1945","1922","$122.27","4009R-HANCOCK WEST"
"122B3 B005","160 GLENHAVEN AVE","4/27/2021","$216,045.00","Qualified","FM","0.17","Residential","1940","1708","$126.49","4009R-HANCOCK WEST"
"122B4 F019","249 N BILLUPS ST","4/22/2021","$225,000.00","Qualified","FM","0.1","Residential","1885","1316","$170.97","4009R-HANCOCK WEST"
"122B4 C014","380 N CHASE ST","4/12/2021","$306,000.00","Qualified","FM","0.14","Commercial","1910","1560","$196.15","4009R-HANCOCK WEST"
"122B4 B011","1140 W HANCOCK AVE","4/8/2021","$225,000.00","Qualified","FM","0.28","Residential","1945","1370","$164.23","4009R-HANCOCK WEST"
"122B4 G016","139 N BILLUPS ST","9/22/2014","$153,000.00","Qualified","FM","0.3","Residential","1930","2948","$51.90","4009R-HANCOCK WEST"
"122B3 D010","1398 W HANCOCK AVE","6/30/2015","$111,500.00","Qualified","FM","0.12","Residential","1940","1377","$80.97","4009R-HANCOCK WEST"
"122B3 D010","1398 W HANCOCK AVE","2/12/2021","$190,000.00","Qualified","FM","0.12","Residential","1940","1377","$137.98","4009R-HANCOCK WEST"
"122B2 J007","420 N CHASE ST","1/24/2017","$149,000.00","Qualified","FM","0.11","Residential","1950","952","$156.51","4009R-HANCOCK WEST"
"122B2 J007","420 N CHASE ST","1/22/2021","$240,000.00","Qualified","FM","0.11","Residential","1950","952","$252.10","4009R-HANCOCK WEST"
"122B4 D024","1095 W HANCOCK AVE","1/22/2021","$314,000.00","Qualified","FM","0.15","Residential","1910","1784","$176.01","4009R-HANCOCK WEST"
"122B4 G022","195 N BILLUPS ST","12/9/2020","$100,000.00","Qualified","FM","0.07","Residential","1930","1240","$80.65","4009R-HANCOCK WEST"
"122B4 B003","426 N BILLUPS ST","10/14/2020","$200,000.00","Qualified","FM","0.16","Residential","2004","1436","$139.28","4009R-HANCOCK WEST"
"122B4 F006","1267 W HANCOCK AVE","9/29/2020","$38,900.00","Qualified","FM","0.09","Residential","1945","1544","$25.19","4009R-HANCOCK WEST"
"122B3 A012","175 GLENHAVEN AVE","9/15/2020","$162,500.00","Qualified","FM","0.17","Residential","1964","1078","$150.74","4009R-HANCOCK WEST"
"122B3 E008","193 N ROCKSPRINGS ST","8/14/2020","$232,110.00","Qualified","FM","0.2","Residential","1925","1348","$172.19","4009R-HANCOCK WEST"
"122B4 C009","847 MEIGS ST","7/21/2020","$595,000.00","Qualified","FM","0.16","Residential","2013","2519","$236.20","4009R-HANCOCK WEST"
"122B4 H014","987 REESE ST","7/10/2020","$219,000.00","Qualified","FM","0.24","Residential","1910","1714","$127.77","4009R-HANCOCK WEST"
"122B3 F038","254 GLENHAVEN AVE","6/23/2020","$70,000.00","Qualified","FM","0.15","Residential","1951","1036","$67.57","4009R-HANCOCK WEST"
"122B2 J006","424 N CHASE ST","2/29/2016","$115,000.00","Qualified","FM","0.11","Residential","1952","952","$120.80","4009R-HANCOCK WEST"
"122B2 J006","424 N CHASE ST","1/27/2017","$162,500.00","Qualified","FM","0.11","Residential","1952","952","$170.69","4009R-HANCOCK WEST"
"122B3 D003A","1322 W HANCOCK AVE","4/5/2019","$324,900.00","Qualified","FM","0.15","Residential","2019","1880","$172.82","4009R-HANCOCK WEST"
