"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"172A5 C003","1295 E BROAD ST C3","12/11/2020","$259,300.00","Qualified","FM","0.03","Residential","1965","1531","$169.37","5117R-CHICOPEE COMMO"
"172A5 C002","1295 E BROAD ST C2","5/9/2017","$175,000.00","Qualified","FM","0.03","Residential","1965","1543","$113.42","5117R-CHICOPEE COMMO"
"172A5 C002","1295 E BROAD ST C2","5/10/2019","$240,000.00","Qualified","FM","0.03","Residential","1965","1543","$155.54","5117R-CHICOPEE COMMO"
"172A5 C004","1295 E BROAD ST C4","4/29/2019","$264,500.00","Qualified","FM","0.04","Residential","1965","1606","$164.69","5117R-CHICOPEE COMMO"
"172A5 A001","1295 E BROAD ST A1","10/26/2015","$300,000.00","Qualified","FM","0.08","Residential","1955","3036","$98.81","5117R-CHICOPEE COMMO"
"172A5 A001","1295 E BROAD ST A1","7/18/2018","$395,000.00","Qualified","FM","0.08","Residential","1955","3036","$130.11","5117R-CHICOPEE COMMO"
"172A5 C005","1295 E BROAD ST C5","1/6/2017","$185,000.00","Qualified","FM","0.03","Residential","1965","1371","$134.94","5117R-CHICOPEE COMMO"
"172A5 C001","1295 E BROAD ST C1","4/29/2015","$189,900.00","Qualified","FM","0.04","Residential","1965","1782","$106.57","5117R-CHICOPEE COMMO"
"172A5 A002","1295 E BROAD ST A2","12/2/2015","$370,000.00","Qualified","FM","0.1","Residential","1955","3613","$102.41","5117R-CHICOPEE COMMO"
"172A5 A003","1295 E BROAD ST A3","9/25/2015","$289,900.00","Qualified","FM","0.07","Residential","1955","2954","$98.14","5117R-CHICOPEE COMMO"
"172A5 B001","1295 E BROAD ST B1","7/30/2014","$180,000.00","Qualified","FM","0.03","Residential","1965","1500","$120.00","5117R-CHICOPEE COMMO"
