"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"171C1 B041J","449 WADDELL ST","11/5/2020","$355,000.00","Qualified","FM","0","Residential","1986","1449","$245.00","5036R-DEARING OAKS"
"171C1 B041G","425 WADDELL ST","5/25/2018","$260,000.00","Qualified","FM","0","Residential","1986","1663","$156.34","5036R-DEARING OAKS"
"171C1 B041B","304 POPE ST","2/28/2018","$268,000.00","Qualified","FM","0","Residential","1986","1690","$158.58","5036R-DEARING OAKS"
"171C1 B041F","413 WADDELL ST","10/26/2017","$242,500.00","Qualified","FM","0","Residential","1986","1690","$143.49","5036R-DEARING OAKS"
"171C1 B036","307 S CHURCH ST","2/19/2016","$190,500.00","Qualified","FM","0","Residential","1985","1449","$131.47","5036R-DEARING OAKS"
"171C1 B041","461 WADDELL ST","11/22/2016","$235,000.00","Qualified","FM","0","Residential","1985","1449","$162.18","5036R-DEARING OAKS"
"171C1 B034","303 S CHURCH ST","8/1/2016","$215,000.00","Qualified","FM","0","Residential","1985","1690","$127.22","5036R-DEARING OAKS"
"171C1 B035","305 S CHURCH ST","7/1/2016","$210,000.00","Qualified","FM","0","Residential","1985","1663","$126.28","5036R-DEARING OAKS"
"171C1 B038","497 WADDELL ST","5/31/2016","$234,000.00","Qualified","FM","0","Residential","1985","1690","$138.46","5036R-DEARING OAKS"
"171C1 B041H","437 WADDELL ST","12/19/2014","$170,000.00","Qualified","FM","0","Residential","1986","1476","$115.18","5036R-DEARING OAKS"
