"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"163C3 A003E","270 CRAWFORD AVE","6/7/2016","$134,500.00","Qualified","FM","0.02","Residential","1936","900","$149.44","5127R-ADDIEVILLE"
"163C3 A003I","366 BARBER ST","7/21/2015","$127,500.00","Qualified","FM","0.02","Residential","1936","959","$132.95","5127R-ADDIEVILLE"
"163C3 A003I","366 BARBER ST","5/4/2018","$153,750.00","Qualified","FM","0.02","Residential","1936","959","$160.32","5127R-ADDIEVILLE"
"163C3 A003G","362 BARBER ST","10/3/2019","$80,000.00","Qualified","FM","0.01","Residential","1936","289","$276.82","5127R-ADDIEVILLE"
"163C3 A003B","240 CRAWFORD AVE","7/21/2017","$144,000.00","Qualified","FM","0.02","Residential","1936","738","$195.12","5127R-ADDIEVILLE"
"163C3 A003J","368 BARBER ST","7/21/2015","$131,500.00","Qualified","FM","0.02","Residential","1936","959","$137.12","5127R-ADDIEVILLE"
"163C3 A003K","370 BARBER ST","6/15/2015","$125,000.00","Qualified","FM","0.02","Residential","1936","959","$130.34","5127R-ADDIEVILLE"
"163C3 A003D","260 CRAWFORD AVE","8/5/2014","$134,000.00","Qualified","FM","0.02","Residential","1936","920","$145.65","5127R-ADDIEVILLE"
