"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"163D2 G027","545 ROSA NELL HOWARD ST","5/9/2018","$80,000.00","Qualified","FM","0.29","Residential","1930","1175","$68.09","4011R-NORTH AVENUE"
"163D2 G027","545 ROSA NELL HOWARD ST","8/16/2021","$130,000.00","Qualified","FM","0.29","Residential","1930","1175","$110.64","4011R-NORTH AVENUE"
"163D4 C008A","215 THIRD ST","1/21/2015","$135,000.00","Qualified","FM","0.12","Residential","2006","1152","$117.19","4011R-NORTH AVENUE"
"163D2 G001","288 FOURTH ST","8/9/2021","$152,500.00","Qualified","FM","0.52","Residential","1940","736","$207.20","4011R-NORTH AVENUE"
"163D4 B012","140 GRIFFETH ST","7/14/2021","$215,000.00","Qualified","FM","0.12","Residential","2007","962","$223.49","4011R-NORTH AVENUE"
"164C3 G001A","157 WATER OAK ST","9/28/2018","$105,000.00","Qualified","LM","0.12","Residential","2019","1656","$63.41","4011R-NORTH AVENUE"
"164C3 G001A","157 WATER OAK ST","6/28/2019","$279,500.00","Qualified","FM","0.12","Residential","2019","1656","$168.78","4011R-NORTH AVENUE"
"164C3 G001A","157 WATER OAK ST","7/2/2021","$447,400.00","Qualified","FM","0.12","Residential","2019","1656","$270.17","4011R-NORTH AVENUE"
"163D4 B001","130 GRIFFETH ST","5/28/2019","$42,000.00","Qualified","LM","0.14","Residential","","","$0.00","4011R-NORTH AVENUE"
"163D4 B001","130 GRIFFETH ST","6/23/2021","$55,000.00","Qualified","LM","0.14","Residential","","","$0.00","4011R-NORTH AVENUE"
"163D1 J002B","225 FOURTH ST","6/1/2021","$240,000.00","Qualified","FM","0.11","Residential","2007","1464","$163.93","4011R-NORTH AVENUE"
"163D4 A005","540 ROSA NELL HOWARD ST","5/4/2021","$97,000.00","Qualified","FM","0.39","Residential","1943","1016","$95.47","4011R-NORTH AVENUE"
"163D4 G008","420 THIRD ST","9/23/2016","$173,000.00","Qualified","FM","0.14","Residential","2007","1170","$147.86","4011R-NORTH AVENUE"
"163D4 G008","420 THIRD ST","4/21/2021","$312,000.00","Qualified","FM","0.14","Residential","2007","1170","$266.67","4011R-NORTH AVENUE"
"163D4 F006","187 FLINT ST","3/25/2019","$30,000.00","Qualified","LM","0.19","Residential","1947","1024","$29.30","4011R-NORTH AVENUE"
"163D4 F006","187 FLINT ST","1/9/2020","$91,500.00","Qualified","FM","0.19","Residential","1947","1024","$89.36","4011R-NORTH AVENUE"
"163D4 F006","187 FLINT ST","4/14/2021","$280,000.00","Qualified","FM","0.19","Residential","1947","1024","$273.44","4011R-NORTH AVENUE"
"164C1 C001E","180 TRAIL CREEK ST","1/17/2020","$25,000.00","Qualified","LM","0.13","Residential","2020","1311","$19.07","4011R-NORTH AVENUE"
"164C1 C001E","180 TRAIL CREEK ST","4/8/2021","$225,000.00","Qualified","FM","0.13","Residential","2020","1311","$171.62","4011R-NORTH AVENUE"
"163D4 C001","386 ROSA NELL HOWARD ST","4/7/2021","$270,000.00","Qualified","FM","0.2","Residential","1942","1206","$223.88","4011R-NORTH AVENUE"
"163D2 F004A","273 FOURTH ST","4/2/2021","$60,000.00","Qualified","MM","0.15","Residential","","","$0.00","4011R-NORTH AVENUE"
"163D2 G008","234 FOURTH ST","9/18/2018","$15,500.00","Qualified","LM","0.29","Residential","","","$0.00","4011R-NORTH AVENUE"
"163D2 G008","234 FOURTH ST","4/2/2021","$30,000.00","Qualified","LM","0.29","Residential","","","$0.00","4011R-NORTH AVENUE"
"163D2 F004","275 FOURTH ST","4/2/2021","$60,000.00","Qualified","MM","0.14","Residential","","","$0.00","4011R-NORTH AVENUE"
"164C1 C001","144 TRAIL CREEK ST","1/17/2020","$25,000.00","Qualified","LM","0.12","Residential","2020","1311","$19.07","4011R-NORTH AVENUE"
"164C1 C001","144 TRAIL CREEK ST","3/15/2021","$215,000.00","Qualified","FM","0.12","Residential","2020","1311","$164.00","4011R-NORTH AVENUE"
"163D4 K009D","145 SUMMERWOOD PL","1/28/2021","$242,000.00","Qualified","FM","0.23","Residential","2003","1246","$194.22","4011R-NORTH AVENUE"
"163D4 F009","164 ODD ST","1/12/2021","$39,900.00","Qualified","LM","0.26","Residential","","","$0.00","4011R-NORTH AVENUE"
