"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"122B1 C007","889 HILL ST","5/19/2021","$725,000.00","Qualified","FM","0.45","Residential","1850","3439","$210.82","4008R-COBBHAM"
"171A1 G012","256 HILL ST","4/14/2021","$475,000.00","Qualified","FM","0.12","Historical","1936","1790","$265.36","4008R-COBBHAM"
"171A1 J005","295 HILL ST","3/4/2021","$300,000.00","Qualified","LM","0.4","Exempt","","","$0.00","4008R-COBBHAM"
"171A1 F008","336 HILL ST","4/1/2021","$850,000.00","Qualified","FM","0.37","Residential","1890","3642","$233.39","4008R-COBBHAM"
"171A1 J004","277 HILL ST","2/22/2021","$785,000.00","Qualified","FM","0.33","Residential","1912","5231","$150.07","4008R-COBBHAM"
"122B2 C004","490 COBB ST","2/12/2021","$750,000.00","Qualified","FM","0.26","Residential","2010","3198","$234.52","4008R-COBBHAM"
"122B2 C005","480 COBB ST","10/9/2020","$403,000.00","Qualified","FM","0.26","Residential","1950","1569","$256.85","4008R-COBBHAM"
"171A1 G013","234 HILL ST","9/10/2014","$246,000.00","Qualified","FM","0.06","Residential","1910","1909","$128.86","4008R-COBBHAM"
"171A1 G013","234 HILL ST","9/28/2018","$425,000.00","Qualified","FM","0.06","Residential","1910","1909","$222.63","4008R-COBBHAM"
"171A1 G013","234 HILL ST","6/5/2020","$453,900.00","Qualified","FM","0.06","Residential","1910","1909","$237.77","4008R-COBBHAM"
"122B2 F003","410 FRANKLIN ST","12/13/2019","$190,000.00","Qualified","FM","0.26","Residential","1945","1110","$171.17","4008R-COBBHAM"
"122B2 F004","594 HILL ST","12/13/2019","$510,000.00","Qualified","FM","0.26","Residential","1930","2990","$170.57","4008R-COBBHAM"
"122B1 A002","63 PRINCE PL","8/19/2019","$392,000.00","Qualified","FM","0.27","Residential","1920","2010","$195.02","4008R-COBBHAM"
"171A1 J006","480 MEIGS ST","5/8/2019","$635,000.00","Qualified","FM","0.6","Commercial","1900","4828","$131.52","4008R-COBBHAM"
"122B2 I002","595 HILL ST","3/18/2019","$738,000.00","Qualified","FM","0.23","Residential","1940","440","$186.46","4008R-COBBHAM"
"122B2 B006B","360 COBB ST","5/27/2015","$300,000.00","Qualified","FM","0.14","Residential","2012","1512","$198.41","4008R-COBBHAM"
"122B2 B006B","360 COBB ST","11/30/2018","$412,500.00","Qualified","FM","0.14","Residential","2012","1512","$272.82","4008R-COBBHAM"
"122B2 B006A","516 FRANKLIN ST","10/19/2018","$674,900.00","Qualified","FM","0.3","Residential","2011","3103","$217.50","4008R-COBBHAM"
"122B1 B010","175 HILLCREST AVE","6/22/2018","$585,000.00","Qualified","FM","0.24","Residential","1940","3158","$185.24","4008R-COBBHAM"
"171A1 K006","450 N HARRIS ST","12/19/2017","$69,000.00","Qualified","FM","0.28","Historical","1943","1983","$34.80","4008R-COBBHAM"
"171A1 K006","450 N HARRIS ST","6/11/2018","$210,000.00","Qualified","FM","0.28","Historical","1943","1983","$105.90","4008R-COBBHAM"
"122B1 A028","712 COBB ST","1/22/2018","$570,000.00","Qualified","FM","0.3","Residential","1912","3213","$177.40","4008R-COBBHAM"
"171A1 J007","460 MEIGS ST","6/15/2017","$478,500.00","Qualified","FM","0.36","Residential","1936","3238","$147.78","4008R-COBBHAM"
"122B1 B014","892 HILL ST","4/3/2017","$300,000.00","Qualified","FM","0.25","Residential","1952","1258","$238.47","4008R-COBBHAM"
"122B1 B020","824 HILL ST","2/28/2017","$295,000.00","Qualified","FM","0.15","Residential","1920","3597","$82.01","4008R-COBBHAM"
"122B2 J002","629 HILL ST","11/30/2016","$350,000.00","Qualified","FM","0.26","Residential","1930","3694","$94.75","4008R-COBBHAM"
"122B1 C004","825 HILL ST","8/26/2016","$834,000.00","Qualified","FM","0.79","Residential","1965","1782","$120.83","4008R-COBBHAM"
"122B1 B009","165 HILLCREST AVE","5/31/2016","$339,000.00","Qualified","FM","0.19","Residential","1912","2632","$128.80","4008R-COBBHAM"
"171A1 M001A","355 N POPE ST","12/21/2015","$475,000.00","Qualified","FM","0.33","Residential","2014","2466","$192.62","4008R-COBBHAM"
"122B1 B017A","870 HILL ST","12/18/2015","$176,500.00","Qualified","LM","0.26","Residential","2016","2428","$72.69","4008R-COBBHAM"
"171A1 K008","578 MEIGS ST","12/14/2015","$280,000.00","Qualified","FM","0.16","Residential","1947","1826","$153.34","4008R-COBBHAM"
"171A1 J003","257 HILL ST","1/13/2014","$376,000.00","Qualified","FM","0.39","Historical","1936","4716","$79.73","4008R-COBBHAM"
"122B2 D005A","555 CHASE ST","8/14/2015","$189,000.00","Qualified","FM","0.15","Residential","1947","846","$223.40","4008R-COBBHAM"
"171A1 K004","387 HILL ST","6/19/2015","$557,000.00","Qualified","FM","0.31","Residential","1880","4596","$121.19","4008R-COBBHAM"
"122B1 B019","834 HILL ST","5/29/2014","$235,000.00","Qualified","FM","0.31","Residential","1947","2555","$91.98","4008R-COBBHAM"
"171A1 M003","465 MEIGS ST","4/1/2014","$405,000.00","Qualified","FM","0.2","Residential","1922","2980","$135.91","4008R-COBBHAM"
"171A1 J009","434 MEIGS ST","3/26/2014","$242,500.00","Qualified","FM","0.21","Residential","1931","1760","$137.78","4008R-COBBHAM"
"122B2 I003","760 MEIGS ST","1/30/2014","$455,000.00","Qualified","FM","0.71","Residential","1850","4470","$101.79","4008R-COBBHAM"
