"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"163B4 A004","150 SPRING CT","8/24/2021","$18,900,451.00","Qualified","FM","7.59","Commercial","1984","960","$0.00","4011C-NORTH AVENUE"
"163B4 A025","210 SPRING CT","8/24/2021","$18,900,451.00","Qualified","FM","3.03","Residential","1985","1300","$14,538.81","4011C-NORTH AVENUE"
"164A3 A001","332 NORTH AVE","12/30/2019","$1,083,750.00","Qualified","FM","0.76","Commercial","1999","6791","$0.00","4011C-NORTH AVENUE"
"164A3 A001","332 NORTH AVE","6/30/2021","$1,127,000.00","Qualified","FM","0.76","Commercial","1999","6791","$0.00","4011C-NORTH AVENUE"
"163B4 A001","217 NORTH AVE","4/13/2018","$140,000.00","Qualified","LM","0.33","Commercial","","","$0.00","4011C-NORTH AVENUE"
"164    013B","496 NORTH AVE","1/21/2021","$675,000.00","Qualified","FM","1.25","Commercial","1974","3802","$0.00","4011C-NORTH AVENUE"
"163D2 A001","211 NORTH AVE","1/27/2015","$20,750,000.00","Qualified","FM","22.38","Commercial","2003","98","$0.00","4011C-NORTH AVENUE"
"163D2 A001","211 NORTH AVE","6/28/2017","$22,000,000.00","Qualified","FM","22.38","Commercial","2003","98","$0.00","4011C-NORTH AVENUE"
"163D2 A001","211 NORTH AVE","4/22/2020","$25,529,000.00","Qualified","FM","22.38","Commercial","2003","98","$0.00","4011C-NORTH AVENUE"
"163D2 C001","137 BERLIN ST","9/27/2019","$925,000.00","Qualified","LM","2.82","Residential","2020","1528","$503.81","4011C-NORTH AVENUE"
"164    013F","474 NORTH AVE","11/9/2018","$265,000.00","Qualified","FM","0.23","Commercial","1983","1952","$0.00","4011C-NORTH AVENUE"
"164    013","484 NORTH AVE","5/17/2018","$4,000,000.00","Qualified","FM","13.27","Commercial","1979","4720","$0.00","4011C-NORTH AVENUE"
"163B4 A005","237 NORTH AVE","12/1/2017","$530,000.00","Qualified","FM","2.2","Commercial","1882","1751","$302.68","4011C-NORTH AVENUE"
"164A3 B001","537 FOURTH ST","7/26/2016","$3,360,000.00","Qualified","FM","5","Commercial","1969","429","$0.00","4011C-NORTH AVENUE"
"164    017","700 FOURTH ST","10/30/2015","$7,300,000.00","Qualified","FM","12.71","Commercial","1986","384","$0.00","4011C-NORTH AVENUE"
"163B2 A016","315 NORTH AVE","12/31/2014","$432,143.00","Qualified","LM","0.8","Commercial","2005","7360","$0.00","4011C-NORTH AVENUE"
"163B4 A002","225 NORTH AVE","12/15/2014","$205,000.00","Qualified","FM","0.85","Commercial","1920","2233","$91.80","4011C-NORTH AVENUE"
