"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"114D4 C011","990 PRINCE AVE","6/18/2021","$1,450,000.00","Qualified","FM","0.56","Commercial","1991","2576","$0.00","4037C-PRINCE AVENUE"
"114D4 D008","798 PRINCE AVE","6/1/2021","$1,150,000.00","Qualified","FM","0.36","Commercial","1951","4960","$0.00","4037C-PRINCE AVENUE"
"171A1 G002","493 PRINCE AVE","5/25/2021","$726,750.00","Qualified","FM","0.08","Commercial","1935","3127","$0.00","4037C-PRINCE AVENUE"
"114D4 C013","948 PRINCE AVE","9/26/2019","$2,500,000.00","Qualified","FM","3.4","Commercial","1975","8438","$0.00","4037C-PRINCE AVENUE"
"114D4 C013","948 PRINCE AVE","3/23/2020","$2,154,582.00","Qualified","FM","3.4","Commercial","1975","8438","$0.00","4037C-PRINCE AVENUE"
"122B1 A009","1085 PRINCE AVE","1/14/2021","$1,700,000.00","Qualified","FM","1.08","Commercial","1981","1850","$0.00","4037C-PRINCE AVENUE"
"114D3 A017","1022 PRINCE AVE","12/26/2018","$2,900,000.00","Qualified","FM","6.16","Commercial","1850","5830","$0.00","4037C-PRINCE AVENUE"
"114D3 A017","1022 PRINCE AVE","12/28/2018","$1,300,000.00","Qualified","FM","6.16","Commercial","1850","5830","$0.00","4037C-PRINCE AVENUE"
"114C1 E021","1670 PRINCE AVE","8/25/2020","$425,000.00","Qualified","FM","0.28","Commercial","1952","2868","$148.19","4037C-PRINCE AVENUE"
"122B2 G007","575 N HARRIS ST","3/21/2014","$400,000.00","Qualified","FM","0.6","Commercial","1975","5867","$0.00","4037C-PRINCE AVENUE"
"122B2 G007","575 N HARRIS ST","5/13/2020","$550,000.00","Qualified","FM","0.6","Commercial","1975","5867","$0.00","4037C-PRINCE AVENUE"
"171A1 D005","598 PRINCE AVE","3/13/2020","$975,000.00","Qualified","FM","0.63","Commercial","1955","3420","$0.00","4037C-PRINCE AVENUE"
"114C4 F001","1307 PRINCE AVE","7/30/2019","$420,000.00","Qualified","FM","0.19","Commercial","1953","2026","$0.00","4037C-PRINCE AVENUE"
"114C1 E006B","2000 PRINCE AVE","11/8/2019","$1,106,000.00","Qualified","FM","0.46","Commercial","1987","2132","$0.00","4037C-PRINCE AVENUE"
"114D3 C034","108 PARK AVE","7/13/2016","$2,500,000.00","Qualified","FM","2.07","Commercial","1965","4548","$0.00","4037C-PRINCE AVENUE"
"114D3 C033","112 PARK AVE","2/15/2019","$387,500.00","Qualified","FM","0.35","Commercial","1960","2100","$0.00","4037C-PRINCE AVENUE"
"114C4 D014","1298 PRINCE AVE","1/28/2019","$500,000.00","Qualified","FM","0.1","Commercial","1930","3344","$0.00","4037C-PRINCE AVENUE"
"114C1 E017","1692 PRINCE AVE","2/13/2019","$422,000.00","Qualified","FM","0.31","Commercial","1950","1444","$191.82","4037C-PRINCE AVENUE"
"122B1 A022","758 COBB ST","11/30/2018","$410,000.00","Qualified","FM","0.31","Commercial","1958","1696","$241.75","4037C-PRINCE AVENUE"
"171A2 B001","220 PRINCE AVE","10/10/2018","$610,000.00","Qualified","FM","0.68","Commercial","1940","644","$114.34","4037C-PRINCE AVENUE"
"171A1 A001","248 PRINCE AVE","5/15/2018","$517,854.00","Qualified","FM","0.68","Commercial","1900","6250","$82.86","4037C-PRINCE AVENUE"
"171A1 B003","394 PRINCE AVE","12/2/2014","$725,000.00","Qualified","FM","0.73","Commercial","1946","10075","$0.00","4037C-PRINCE AVENUE"
"171A1 B003","394 PRINCE AVE","4/18/2018","$1,620,000.00","Qualified","FM","0.73","Commercial","1946","10075","$0.00","4037C-PRINCE AVENUE"
"122B1 A012","1143 PRINCE AVE","12/22/2017","$762,500.00","Qualified","FM","0.56","Commercial","1900","4541","$167.91","4037C-PRINCE AVENUE"
"122B2 B002","843 PRINCE AVE","9/13/2017","$341,000.00","Qualified","FM","0.3","Commercial","1959","1708","$0.00","4037C-PRINCE AVENUE"
"114C1 A002","1721 PRINCE AVE","12/22/2016","$295,000.00","Qualified","FM","0.5","Commercial","1945","1518","$194.33","4037C-PRINCE AVENUE"
"114D4 C012","940 PRINCE AVE","10/14/2016","$560,000.00","Qualified","FM","0.27","Commercial","1973","4280","$0.00","4037C-PRINCE AVENUE"
"171A1 G006","553 PRINCE AVE","4/16/2014","$260,000.00","Qualified","FM","0.04","Historical","1900","1620","$0.00","4037C-PRINCE AVENUE"
