"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"171C1 B031","392 S POPE ST","9/13/2019","$250,000.00","Qualified","FM","0","Historical","1850","2178","$114.78","5038R-TANYARD"
"171C1 B031","392 S POPE ST","6/7/2021","$500,000.00","Qualified","FM","0","Historical","1850","2178","$229.57","5038R-TANYARD"
"171C1 B024","392 S POPE ST","6/30/2016","$168,000.00","Qualified","FM","0","Residential","1984","1056","$159.09","5038R-TANYARD"
"171C1 B042","370 S POPE ST","6/30/2016","$168,000.00","Qualified","FM","0","Residential","1986","1182","$142.13","5038R-TANYARD"
