"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"114B2 D005","355 ONETA ST D500","3/31/2021","$1,507,200.00","Qualified","FM","0.22","Industrial","1900","9600","$0.00","5183C-SOUTHERN MILL"
"114B2 C002","355 ONETA ST","3/31/2021","$1,400,000.00","Qualified","FM","0.26","Industrial","1900","10651","$0.00","5183C-SOUTHERN MILL"
"114B2 D002","355 ONETA ST D200","11/24/2020","$416,100.00","Qualified","FM","0.06","Industrial","1900","2994","$0.00","5183C-SOUTHERN MILL"
"114B2 D003","355 ONETA ST D300","10/19/2020","$396,015.00","Qualified","FM","0.06","Industrial","1900","2800","$0.00","5183C-SOUTHERN MILL"
"114B2 D004","355 ONETA ST D400","10/19/2020","$376,800.00","Qualified","FM","0.06","Industrial","1900","2400","$0.00","5183C-SOUTHERN MILL"
"114B2 D001","355 ONETA ST D1","12/27/2019","$2,013,155.00","Qualified","FM","0.2","Industrial","1920","8364","$0.00","5183C-SOUTHERN MILL"
