"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"171A8 G001","357 A PRINCE AVE A","2/12/2021","$685,000.00","Qualified","FM","0.05","Residential","2001","2740","$250.00","5112R-BOTTLEWORKS RESIDENTIAL"
"171A8 G005","357 PRINCE AVE E","10/4/2019","$404,000.00","Qualified","FM","0.05","Residential","2001","2145","$188.34","5112R-BOTTLEWORKS RESIDENTIAL"
"171A8 D002","287 PRINCE AVE B","3/25/2015","$340,000.00","Qualified","FM","0.05","Residential","1928","2128","$159.77","5112R-BOTTLEWORKS RESIDENTIAL"
"171A8 D002","287 PRINCE AVE B","2/28/2018","$510,000.00","Qualified","FM","0.05","Residential","1928","2128","$239.66","5112R-BOTTLEWORKS RESIDENTIAL"
"171A8 G004","357 PRINCE AVE D","7/15/2014","$288,000.00","Qualified","FM","0.05","Residential","2001","1981","$145.38","5112R-BOTTLEWORKS RESIDENTIAL"
"171A8 G004","357 PRINCE AVE D","3/21/2017","$316,000.00","Qualified","FM","0.05","Residential","2001","1981","$159.52","5112R-BOTTLEWORKS RESIDENTIAL"
"171A8 G002","357 PRINCE AVE D","1/23/2015","$214,000.00","Qualified","FM","0.05","Residential","2001","1313","$162.99","5112R-BOTTLEWORKS RESIDENTIAL"
