"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"163C4 B002","600 PULASKI ST","11/13/2015","$1,000,000.00","Qualified","FM","2.65","Commercial","1900","3600","$0.00","4010C-NEWTOWN"
"163C4 B002","600 PULASKI ST","4/16/2021","$1,400,000.00","Qualified","FM","2.65","Commercial","1900","3600","$0.00","4010C-NEWTOWN"
"114B   002B","175 TRACY ST","11/30/2018","$500,000.00","Qualified","LM","7.2","Commercial","","","$0.00","4010C-NEWTOWN"
"114B   002B","175 TRACY ST","3/19/2021","$1,050,000.00","Qualified","LM","7.2","Commercial","","","$0.00","4010C-NEWTOWN"
"163C2 G001","945 COLLEGE AVE","12/30/2020","$1,200,000.00","Qualified","FM","1.01","Commercial","2008","900","$297.03","4010C-NEWTOWN"
"114B   002A","615 BARBER ST","10/10/2019","$150,000.00","Qualified","LM","1.21","Industrial","","","$0.00","4010C-NEWTOWN"
"163C2 A015","716 PULASKI ST","10/14/2016","$6,000.00","Qualified","LM","1.96","Commercial","1940","1089","$0.00","4010C-NEWTOWN"
