"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"163C1 G016","164 AUGUSTA AVE","5/28/2021","$183,000.00","Qualified","FM","0.17","Residential","1960","1008","$181.55","4010R-NEWTOWN"
"163C1 F004","356 ATLANTA AVE","4/5/2021","$217,500.00","Qualified","FM","0.12","Residential","1960","728","$298.76","4010R-NEWTOWN"
"163C1 G012","146 MADISON ST","4/4/2014","$85,000.00","Qualified","FM","0","Residential","1949","736","$115.49","4010R-NEWTOWN"
"163C1 G012","146 MADISON ST","3/13/2017","$132,900.00","Qualified","FM","0","Residential","1949","736","$180.57","4010R-NEWTOWN"
"163C1 C011","245 ATLANTA AVE","8/14/2020","$225,000.00","Qualified","FM","0.25","Residential","1930","1560","$144.23","4010R-NEWTOWN"
"163C1 C007","160 STEVENS ST","10/23/2020","$176,000.00","Qualified","FM","0.13","Residential","1950","1040","$169.23","4010R-NEWTOWN"
"163C1 F002","378 ATLANTA AVE","12/7/2017","$180,000.00","Qualified","FM","0.11","Residential","1940","1184","$152.03","4010R-NEWTOWN"
"163C1 E003","220 ATLANTA AVE","9/18/2020","$100,000.00","Qualified","LM","0.45","Residential","","","$0.00","4010R-NEWTOWN"
"114D1 D008","143 BRYAN ST","11/28/2018","$110,000.00","Qualified","FM","0.13","Residential","1949","988","$111.34","4010R-NEWTOWN"
"114D1 D008","143 BRYAN ST","8/28/2020","$170,000.00","Qualified","FM","0.13","Residential","1949","988","$172.06","4010R-NEWTOWN"
"163A3 B022","357 AUGUSTA AVE","8/20/2020","$114,000.00","Qualified","FM","0.21","Residential","1930","1075","$44.76","4010R-NEWTOWN"
"163C1 C015","279 SAVANNAH AVE","7/18/2014","$164,900.00","Qualified","FM","0.12","Residential","2008","1469","$112.25","4010R-NEWTOWN"
"163C1 C015","279 SAVANNAH AVE","10/27/2016","$189,900.00","Qualified","FM","0.12","Residential","2008","1469","$129.27","4010R-NEWTOWN"
"163C1 C015","279 SAVANNAH AVE","7/20/2020","$266,000.00","Qualified","FM","0.12","Residential","2008","1469","$181.08","4010R-NEWTOWN"
"163C1 G002","198 MACON AVE","4/3/2020","$185,000.00","Qualified","FM","0.19","Residential","1940","1140","$162.28","4010R-NEWTOWN"
"163C1 A007","230 AUGUSTA AVE","2/10/2017","$302,812.00","Qualified","FM","0.18","Residential","2016","2048","$147.86","4010R-NEWTOWN"
"163C1 A007","230 AUGUSTA AVE","3/4/2020","$360,000.00","Qualified","FM","0.18","Residential","2016","2048","$175.78","4010R-NEWTOWN"
"163C1 B005","284 SAVANNAH AVE","9/14/2015","$46,680.00","Qualified","FM","0.12","Residential","1915","1077","$43.34","4010R-NEWTOWN"
"163C1 B006","280 SAVANNAH AVE","12/20/2019","$315,800.00","Qualified","FM","0.11","Residential","2019","1924","$164.14","4010R-NEWTOWN"
"163A3 B047A","543 ATHENS AVE","12/21/2017","$179,000.00","Qualified","LM","0.22","Residential","2018","2306","$77.62","4010R-NEWTOWN"
"163A3 B047A","543 ATHENS AVE","9/6/2019","$360,917.00","Qualified","FM","0.22","Residential","2018","2306","$156.51","4010R-NEWTOWN"
"163A3 B030A","330 AUGUSTA AVE","8/20/2019","$65,000.00","Qualified","FM","0.16","Residential","1972","1176","$55.27","4010R-NEWTOWN"
"163A3 B046","529 ATHENS AVE","12/21/2017","$179,000.00","Qualified","LM","0.25","Residential","2018","2306","$77.62","4010R-NEWTOWN"
"163A3 B046","529 ATHENS AVE","8/9/2019","$350,900.00","Qualified","FM","0.25","Residential","2018","2306","$152.17","4010R-NEWTOWN"
"163A3 B029","372 AUGUSTA AVE","8/9/2019","$15,000.00","Qualified","LM","0.37","Residential","","","$0.00","4010R-NEWTOWN"
"163C1 E011","127 SAVANNAH AVE","11/24/2015","$150,000.00","Qualified","FM","0.13","Residential","1945","896","$167.41","4010R-NEWTOWN"
"163C1 E011","127 SAVANNAH AVE","8/9/2019","$195,000.00","Qualified","FM","0.13","Residential","1945","896","$217.63","4010R-NEWTOWN"
"163A3 B047","537 ATHENS AVE","12/21/2017","$179,000.00","Qualified","LM","0.22","Residential","2018","2366","$75.66","4010R-NEWTOWN"
"163A3 B047","537 ATHENS AVE","7/16/2019","$357,500.00","Qualified","FM","0.22","Residential","2018","2366","$151.10","4010R-NEWTOWN"
"163C1 A006","248 AUGUSTA AVE","4/19/2017","$279,500.00","Qualified","FM","0.13","Residential","2016","1880","$148.67","4010R-NEWTOWN"
"163C1 A006","248 AUGUSTA AVE","7/1/2019","$310,000.00","Qualified","FM","0.13","Residential","2016","1880","$164.89","4010R-NEWTOWN"
"163C1 A010C","155 MACON AVE","4/15/2014","$155,000.00","Qualified","FM","0.18","Residential","2007","1665","$93.09","4010R-NEWTOWN"
"163C1 A010C","155 MACON AVE","5/17/2019","$257,500.00","Qualified","FM","0.18","Residential","2007","1665","$154.65","4010R-NEWTOWN"
"163A3 B047B","551 ATHENS AVE","12/21/2017","$179,000.00","Qualified","LM","0.21","Residential","2018","1880","$95.21","4010R-NEWTOWN"
"163A3 B047B","551 ATHENS AVE","4/25/2019","$318,000.00","Qualified","FM","0.21","Residential","2018","1880","$169.15","4010R-NEWTOWN"
"163C1 F008A","160 SAVANNAH AVE","4/20/2018","$42,000.00","Qualified","LM","0.11","Residential","2018","1514","$27.74","4010R-NEWTOWN"
"163C1 F008A","160 SAVANNAH AVE","3/21/2019","$278,000.00","Qualified","FM","0.11","Residential","2018","1514","$183.62","4010R-NEWTOWN"
"163C1 C002","290 ATHENS AVE","6/24/2015","$76,500.00","Qualified","FM","0.05","Residential","1925","691","$110.71","4010R-NEWTOWN"
"163C1 G014","452 ATLANTA AVE","7/12/2018","$178,000.00","Qualified","FM","0.19","Residential","1920","1512","$117.72","4010R-NEWTOWN"
"163C1 C005","180 STEVENS ST","7/3/2018","$218,500.00","Qualified","FM","0.13","Residential","2008","1540","$141.88","4010R-NEWTOWN"
"163C1 G003","194 MACON AVE","7/2/2018","$273,000.00","Qualified","FM","0.11","Residential","2003","1656","$164.86","4010R-NEWTOWN"
"163A3 B009","281 ATHENS AVE","2/16/2018","$238,500.00","Qualified","FM","0.11","Residential","2009","1748","$136.44","4010R-NEWTOWN"
"114B   003","697 BARBER ST","12/29/2016","$80,000.00","Qualified","FM","0.21","Commercial","1945","1328","$60.24","4010R-NEWTOWN"
"114B   003","697 BARBER ST","2/15/2018","$166,500.00","Qualified","FM","0.21","Commercial","1945","1328","$125.38","4010R-NEWTOWN"
"163A3 B009A","283 ATHENS AVE","1/31/2018","$190,000.00","Qualified","FM","0.15","Residential","2010","1302","$145.93","4010R-NEWTOWN"
"163C1 C003","280 ATHENS AVE","1/31/2018","$218,500.00","Qualified","FM","0.09","Residential","2008","1518","$143.94","4010R-NEWTOWN"
"163C1 E001","199 ATLANTA AVE","1/13/2016","$70,000.00","Qualified","FM","0.12","Residential","1935","904","$77.43","4010R-NEWTOWN"
"163C1 E001","199 ATLANTA AVE","11/6/2017","$95,000.00","Qualified","FM","0.12","Residential","1935","904","$105.09","4010R-NEWTOWN"
"163A3 B020","397 ATHENS AVE","12/29/2016","$105,000.00","Qualified","FM","0.23","Residential","1934","1661","$63.21","4010R-NEWTOWN"
"163A3 B020","397 ATHENS AVE","10/20/2017","$309,000.00","Qualified","FM","0.23","Residential","1934","1661","$186.03","4010R-NEWTOWN"
"163C1 A013","185 MACON AVE","4/2/2014","$25,000.00","Qualified","LM","0.12","Residential","","","$0.00","4010R-NEWTOWN"
"163A3 B004A","764 BARBER ST","8/22/2017","$310,000.00","Qualified","FM","0.89","Residential","1950","2080","$149.04","4010R-NEWTOWN"
"163C1 A010","473 ATLANTA AVE","6/23/2014","$159,000.00","Qualified","FM","0.18","Residential","2007","1496","$106.28","4010R-NEWTOWN"
"163C1 A010","473 ATLANTA AVE","7/28/2017","$228,500.00","Qualified","FM","0.18","Residential","2007","1496","$152.74","4010R-NEWTOWN"
"163C1 G013A","458 ATLANTA AVE","5/31/2017","$143,000.00","Qualified","FM","0.3","Residential","2004","1304","$109.66","4010R-NEWTOWN"
"163C1 F009","146 SAVANNAH AVE","10/22/2015","$53,000.00","Qualified","FM","0.15","Residential","1915","1156","$45.85","4010R-NEWTOWN"
"163C1 F009","146 SAVANNAH AVE","4/27/2017","$157,000.00","Qualified","FM","0.15","Residential","1915","1156","$135.81","4010R-NEWTOWN"
"163C1 A007A","240 AUGUSTA AVE","2/17/2017","$283,000.00","Qualified","FM","0.18","Residential","2016","2048","$138.18","4010R-NEWTOWN"
"163C1 F006A","328 ATLANTA AVE","6/1/2016","$92,000.00","Qualified","FM","0","Residential","1920","1064","$86.47","4010R-NEWTOWN"
"163A3 B013","350 SAVANNAH AVE","12/17/2015","$40,000.00","Qualified","LM","0.48","Residential","","","$0.00","4010R-NEWTOWN"
"163A3 B014","340 SAVANNAH AVE","12/17/2015","$40,000.00","Qualified","LM","0.13","Residential","","","$0.00","4010R-NEWTOWN"
"163C1 C006","170 STEVENS ST","10/14/2015","$27,000.00","Qualified","FM","0.16","Residential","1967","1250","$21.60","4010R-NEWTOWN"
"163C1 F005","346 ATLANTA AVE","8/14/2015","$56,600.00","Qualified","FM","0.46","Residential","2016","2080","$27.21","4010R-NEWTOWN"
"163A3 B006","156 ATHENS AVE","12/16/2014","$145,000.00","Qualified","FM","0.29","Commercial","2000","1260","$115.08","4010R-NEWTOWN"
"163C1 A010B","145 MACON AVE","9/19/2014","$172,500.00","Qualified","FM","0.18","Residential","2007","1623","$106.28","4010R-NEWTOWN"
"114D1 D009","147 BRYAN ST","7/17/2014","$64,900.00","Qualified","FM","0.1","Residential","1935","1030","$63.01","4010R-NEWTOWN"
"163C1 G001","540 ATHENS AVE","4/30/2014","$218,000.00","Qualified","FM","1.4","Residential","2005","2946","$74.00","4010R-NEWTOWN"
"163C1 B007","270 SAVANNAH AVE","4/4/2014","$45,000.00","Qualified","FM","0.12","Residential","1920","1527","$29.47","4010R-NEWTOWN"
