"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"171B1 G309","247 E WASHINGTON ST 309","3/17/2017","$260,000.00","Qualified","FM","0.02","Residential","1902","1031","$252.18","5158R-THE GEORGIAN"
"171B1 G309","247 E WASHINGTON ST 309","5/30/2019","$334,900.00","Qualified","FM","0.02","Residential","1902","1031","$324.83","5158R-THE GEORGIAN"
"171B1 G309","247 E WASHINGTON ST 309","5/20/2021","$550,000.00","Qualified","FM","0.02","Residential","1902","1031","$533.46","5158R-THE GEORGIAN"
"171B1 G307","247 E WASHINGTON ST 307","4/5/2018","$199,000.00","Qualified","FM","0.02","Residential","1902","809","$245.98","5158R-THE GEORGIAN"
"171B1 G307","247 E WASHINGTON ST 307","10/30/2020","$285,000.00","Qualified","FM","0.02","Residential","1902","809","$352.29","5158R-THE GEORGIAN"
"171B1 G206","247 E WASHINGTON ST 206","2/8/2019","$210,000.00","Qualified","FM","0.02","Residential","1902","809","$259.58","5158R-THE GEORGIAN"
"171B1 G206","247 E WASHINGTON ST 206","7/22/2020","$269,000.00","Qualified","FM","0.02","Residential","1902","809","$332.51","5158R-THE GEORGIAN"
"171B1 G201","247 E WASHINGTON ST 201","7/1/2020","$352,500.00","Qualified","FM","0.02","Residential","1902","1031","$341.90","5158R-THE GEORGIAN"
"171B1 G504","247 E WASHINGTON ST 504","6/23/2020","$350,000.00","Qualified","FM","0.03","Residential","1902","1131","$309.46","5158R-THE GEORGIAN"
"171B1 G402","247 E WASHINGTON ST 402","7/31/2017","$189,900.00","Qualified","FM","0.02","Residential","1902","841","$225.80","5158R-THE GEORGIAN"
"171B1 G402","247 E WASHINGTON ST 402","5/29/2020","$285,000.00","Qualified","FM","0.02","Residential","1902","841","$338.88","5158R-THE GEORGIAN"
"171B1 G203","247 E WASHINGTON ST 203","3/29/2019","$325,000.00","Qualified","FM","0.03","Residential","1902","1131","$287.36","5158R-THE GEORGIAN"
"171B1 G508","247 E WASHINGTON ST 508","11/3/2014","$395,000.00","Qualified","FM","0.04","Residential","1902","1755","$225.07","5158R-THE GEORGIAN"
"171B1 G508","247 E WASHINGTON ST 508","3/1/2019","$650,000.00","Qualified","FM","0.04","Residential","1902","1755","$370.37","5158R-THE GEORGIAN"
"171B1 G502","247 E WASHINGTON ST 502","1/10/2019","$223,677.00","Qualified","FM","0.02","Residential","1902","841","$265.97","5158R-THE GEORGIAN"
"171B1 G507","247 E WASHINGTON ST 507","6/22/2018","$357,500.00","Qualified","FM","0.03","Residential","1902","1122","$318.63","5158R-THE GEORGIAN"
"171B1 G303","247 E WASHINGTON ST 303","5/14/2018","$275,000.00","Qualified","FM","0.03","Residential","1902","1139","$241.44","5158R-THE GEORGIAN"
"171B1 G301","247 E WASHINGTON ST 301","5/15/2014","$159,000.00","Qualified","FM","0.02","Residential","1902","836","$190.19","5158R-THE GEORGIAN"
"171B1 G301","247 E WASHINGTON ST 301","5/9/2018","$190,000.00","Qualified","FM","0.02","Residential","1902","836","$227.27","5158R-THE GEORGIAN"
"171B1 G202","247 E WASHINGTON ST 202","9/15/2017","$268,000.00","Qualified","FM","0.03","Residential","1902","1139","$235.29","5158R-THE GEORGIAN"
"171B1 G501","247 E WASHINGTON ST 501","9/5/2017","$170,000.00","Qualified","FM","0.02","Residential","1902","836","$203.35","5158R-THE GEORGIAN"
"171B1 G306","247 E WASHINGTON ST 306","5/2/2017","$275,000.00","Qualified","FM","0.02","Residential","1902","1070","$257.01","5158R-THE GEORGIAN"
"171B1 G401","247 E WASHINGTON ST 401","12/14/2016","$144,500.00","Qualified","FM","0.02","Residential","1902","836","$172.85","5158R-THE GEORGIAN"
"171B1 G205","247 E WASHINGTON ST 205","4/1/2016","$249,900.00","Qualified","FM","0.02","Residential","1902","1070","$233.55","5158R-THE GEORGIAN"
"171B1 G503","247 E WASHINGTON ST 503","12/30/2015","$275,000.00","Qualified","FM","0.03","Residential","1902","1139","$241.44","5158R-THE GEORGIAN"
"171B1 G406","247 E WASHINGTON ST 406","11/20/2015","$230,000.00","Qualified","FM","0.02","Residential","1902","1070","$214.95","5158R-THE GEORGIAN"
"171B1 G409","247 E WASHINGTON ST 409","5/1/2015","$230,000.00","Qualified","FM","0.02","Residential","1902","1031","$223.08","5158R-THE GEORGIAN"
"171B1 G208","247 E WASHINGTON ST 208","11/14/2014","$214,000.00","Qualified","FM","0.02","Residential","1902","1031","$207.57","5158R-THE GEORGIAN"
"171B1 G407","247 E WASHINGTON ST 407","8/13/2014","$190,000.00","Qualified","FM","0.02","Residential","1902","809","$234.86","5158R-THE GEORGIAN"
