"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"122B5 A004","550 DEARING ST","4/28/2016","$117,022.00","Qualified","FM","0","Residential","1986","1152","$101.58","5018R-DEARING COURTY"
"122B5 A004","550 DEARING ST","3/1/2021","$166,400.00","Qualified","FM","0","Residential","1986","1152","$144.44","5018R-DEARING COURTY"
"122B5 A022","550 DEARING ST","7/31/2020","$147,500.00","Qualified","FM","0","Residential","1986","1152","$128.04","5018R-DEARING COURTY"
"122B5 A020","550 DEARING ST","5/23/2016","$94,900.00","Qualified","FM","0","Residential","1986","1184","$80.15","5018R-DEARING COURTY"
"122B5 A020","550 DEARING ST","4/3/2020","$145,000.00","Qualified","FM","0","Residential","1986","1184","$122.47","5018R-DEARING COURTY"
"122B5 A023","550 DEARING ST","9/29/2016","$101,000.00","Qualified","FM","0","Residential","1986","1184","$85.30","5018R-DEARING COURTY"
"122B5 A023","550 DEARING ST","1/31/2020","$155,500.00","Qualified","FM","0","Residential","1986","1184","$131.33","5018R-DEARING COURTY"
"122B5 A033","550 DEARING ST","3/31/2014","$112,000.00","Qualified","FM","0","Residential","1986","1184","$94.59","5018R-DEARING COURTY"
"122B5 A033","550 DEARING ST","8/23/2019","$132,000.00","Qualified","FM","0","Residential","1986","1184","$111.49","5018R-DEARING COURTY"
"122B5 A030","550 DEARING ST","5/19/2015","$78,674.00","Qualified","FM","0","Residential","1986","1184","$66.45","5018R-DEARING COURTY"
"122B5 A030","550 DEARING ST","2/22/2019","$140,000.00","Qualified","FM","0","Residential","1986","1184","$118.24","5018R-DEARING COURTY"
"122B5 A007","550 DEARING ST","7/2/2015","$87,000.00","Qualified","FM","0","Residential","1986","1152","$75.52","5018R-DEARING COURTY"
"122B5 A007","550 DEARING ST","5/25/2018","$118,500.00","Qualified","FM","0","Residential","1986","1152","$102.86","5018R-DEARING COURTY"
"122B5 A027","550 DEARING ST","9/9/2016","$103,500.00","Qualified","FM","0","Residential","1986","1184","$87.42","5018R-DEARING COURTY"
"122B5 A027","550 DEARING ST","7/14/2017","$117,000.00","Qualified","FM","0","Residential","1986","1184","$98.82","5018R-DEARING COURTY"
"122B5 A029","550 DEARING ST","4/27/2017","$120,000.00","Qualified","FM","0","Residential","1986","1184","$101.35","5018R-DEARING COURTY"
"122B5 A026","550 DEARING ST","1/17/2017","$126,500.00","Qualified","FM","0","Residential","1986","1184","$106.84","5018R-DEARING COURTY"
"122B5 A018","550 DEARING ST","4/1/2016","$110,000.00","Qualified","FM","0","Residential","1986","1184","$92.91","5018R-DEARING COURTY"
"122B5 A009","550 DEARING ST","2/29/2016","$116,900.00","Qualified","FM","0","Residential","1986","1184","$98.73","5018R-DEARING COURTY"
"122B5 A017","550 DEARING ST","1/12/2015","$97,000.00","Qualified","FM","0","Residential","1986","1184","$81.93","5018R-DEARING COURTY"
